Auction 100, won by: C, price paid: 70.0
Auction 101, won by: B, price paid: 7.0
Auction 102, won by: B, price paid: 20.0
Auction 103, won by: C, price paid: 18.0
Auction 104, won by: C, price paid: 13.0
Auction 105, won by: A, price paid: 18.0
Auction 106, won by: A, price paid: 10.0
Auction 107, won by: B, price paid: 17.0
Auction 108, won by: C, price paid: 10.0
Auction 109, won by: B, price paid: 12.0
Auction 110, won by: C, price paid: 12.0
Auction 111, won by: B, price paid: 25.0
Auction 112, won by: B, price paid: 6.0
Auction 113, won by: A, price paid: 8.0
Auction 114, won by: B, price paid: 8.0
Auction 115, won by: C, price paid: 22.0
Auction 116, won by: C, price paid: 5.0
Auction 117, won by: C, price paid: 6.0
Auction 118, won by: B, price paid: 15.0
Auction 119, won by: B, price paid: 28.0
Auction 120, won by: A, price paid: 12.0
Auction 121, won by: B, price paid: 28.0
Auction 122, won by: A, price paid: 34.0
Auction 123, won by: A, price paid: 17.0
Auction 124, won by: A, price paid: 14.0
Auction 125, won by: C, price paid: 5.0
Auction 126, won by: C, price paid: 12.0
Auction 127, won by: A, price paid: 12.0
Auction 128, won by: A, price paid: 14.0
Auction 129, won by: C, price paid: 32.0
Auction 130, won by: C, price paid: 4.0
Auction 131, won by: A, price paid: 20.0
Auction 132, won by: C, price paid: 6.0
Auction 133, won by: A, price paid: 17.0
Auction 134, won by: C, price paid: 8.0
Auction 135, won by: C, price paid: 14.0
Auction 136, won by: C, price paid: 18.0
Auction 137, won by: A, price paid: 14.0
Auction 138, won by: C, price paid: 14.0
Auction 139, won by: C, price paid: 13.0
Auction 140, won by: B, price paid: 17.0
Auction 141, won by: C, price paid: 27.0
Auction 142, won by: C, price paid: 6.0
Auction 143, won by: A, price paid: 44.0
Auction 144, won by: C, price paid: 9.0
Auction 145, won by: B, price paid: 20.0
Auction 146, won by: C, price paid: 14.0
Auction 147, won by: C, price paid: 13.0
Auction 148, won by: B, price paid: 8.0
Auction 149, won by: C, price paid: 8.0
Auction 150, won by: B, price paid: 18.0
Auction 151, won by: C, price paid: 9.0
Auction 152, won by: A, price paid: 10.0
Auction 153, won by: A, price paid: 19.0
Auction 154, won by: C, price paid: 10.0
Auction 155, won by: C, price paid: 10.0
Auction 156, won by: B, price paid: 12.0
Auction 157, won by: A, price paid: 26.0
Auction 158, won by: C, price paid: 3.0
Auction 159, won by: B, price paid: 23.0
Auction 160, won by: A, price paid: 13.0
Auction 161, won by: C, price paid: 33.0
Auction 162, won by: B, price paid: 12.0
Auction 163, won by: B, price paid: 10.0
